step,time_ms,percent
read_image,23.002,0.225
clahe,18.803,0.184
fft_denoise_1,280.101,2.735
log_kernel,0.069,0.001
log_convolution,15.853,0.155
edge_detection,7140.735,69.733
fft_denoise_2,274.664,2.682
depth_inference_tflite,208.577,2.037
combine_depth_edge,6.888,0.067
patchify,7.574,0.074
astar_pathfinding,0.176,0.002
slope_direction,0.074,0.001
draw_arrow,1.490,0.015
save_arrow_png,63.882,0.624
plot_and_save_grid,2198.263,21.467
TOTAL,10240.151,100.000
