step,time_ms,percent
read_image,18.335,0.183
clahe,15.605,0.156
fft_denoise_1,228.689,2.284
log_kernel,0.060,0.001
log_convolution,15.027,0.150
edge_detection,7108.235,70.978
fft_denoise_2,234.532,2.342
depth_inference_tflite,166.348,1.661
combine_depth_edge,5.608,0.056
patchify,3.817,0.038
astar_pathfinding,0.105,0.001
slope_direction,0.051,0.001
draw_arrow,1.040,0.010
save_arrow_png,59.945,0.599
plot_and_save_grid,2157.274,21.541
TOTAL,10014.671,100.000
