image,step,time_ms,percent_of_image
5.jpg,log_kernel,0.074,0.001
5.jpg,log_convolution,14.739,0.143
5.jpg,edge_detection,7086.761,68.580
5.jpg,fft_denoise_2,250.141,2.421
5.jpg,depth_inference_tflite,159.896,1.547
5.jpg,combine_depth_edge,6.247,0.060
5.jpg,patchify,4.483,0.043
5.jpg,astar_pathfinding,0.130,0.001
5.jpg,slope_direction,0.056,0.001
5.jpg,draw_arrow,1.059,0.010
5.jpg,save_arrow_png,65.000,0.629
5.jpg,plot_and_save_grid,2456.723,23.774
5.jpg,TOTAL,10333.528,100.000
6.jpg,read_image,18.335,0.183
6.jpg,clahe,15.605,0.156
6.jpg,fft_denoise_1,228.689,2.284
6.jpg,log_kernel,0.060,0.001
6.jpg,log_convolution,15.027,0.150
6.jpg,edge_detection,7108.235,70.978
6.jpg,fft_denoise_2,234.532,2.342
6.jpg,depth_inference_tflite,166.348,1.661
6.jpg,combine_depth_edge,5.608,0.056
6.jpg,patchify,3.817,0.038
6.jpg,astar_pathfinding,0.105,0.001
6.jpg,slope_direction,0.051,0.001
6.jpg,draw_arrow,1.040,0.010
6.jpg,save_arrow_png,59.945,0.599
6.jpg,plot_and_save_grid,2157.274,21.541
6.jpg,TOTAL,10014.671,100.000
7.jpg,read_image,25.678,0.271
7.jpg,clahe,17.128,0.180
7.jpg,fft_denoise_1,210.720,2.220
7.jpg,log_kernel,0.091,0.001
7.jpg,log_convolution,13.113,0.138
7.jpg,edge_detection,6510.342,68.593
7.jpg,fft_denoise_2,210.484,2.218
7.jpg,depth_inference_tflite,237.896,2.506
7.jpg,combine_depth_edge,6.413,0.068
7.jpg,patchify,4.575,0.048
7.jpg,astar_pathfinding,0.128,0.001
7.jpg,slope_direction,0.058,0.001
7.jpg,draw_arrow,1.464,0.015
7.jpg,save_arrow_png,80.095,0.844
7.jpg,plot_and_save_grid,2173.120,22.896
7.jpg,TOTAL,9491.305,100.000
8.jpg,read_image,18.238,0.179
8.jpg,clahe,15.363,0.151
8.jpg,fft_denoise_1,236.868,2.328
8.jpg,log_kernel,0.077,0.001
8.jpg,log_convolution,15.674,0.154
8.jpg,edge_detection,7172.427,70.489
8.jpg,fft_denoise_2,231.336,2.274
8.jpg,depth_inference_tflite,170.970,1.680
8.jpg,combine_depth_edge,6.044,0.059
8.jpg,patchify,4.049,0.040
8.jpg,astar_pathfinding,0.121,0.001
8.jpg,slope_direction,0.064,0.001
8.jpg,draw_arrow,1.072,0.011
8.jpg,save_arrow_png,49.032,0.482
8.jpg,plot_and_save_grid,2253.956,22.151
8.jpg,TOTAL,10175.289,100.000
9.jpg,read_image,1.857,0.114
9.jpg,clahe,1.823,0.112
9.jpg,fft_denoise_1,19.628,1.201
9.jpg,log_kernel,0.052,0.003
9.jpg,log_convolution,0.609,0.037
9.jpg,edge_detection,463.044,28.325
9.jpg,fft_denoise_2,18.666,1.142
9.jpg,depth_inference_tflite,167.185,10.227
9.jpg,combine_depth_edge,0.158,0.010
9.jpg,patchify,1.388,0.085
9.jpg,astar_pathfinding,0.155,0.009
9.jpg,slope_direction,0.061,0.004
9.jpg,draw_arrow,0.086,0.005
9.jpg,save_arrow_png,7.929,0.485
9.jpg,plot_and_save_grid,952.114,58.242
9.jpg,TOTAL,1634.755,100.000
(global),load_model_once,128.850,n/a
